note_id,seller_id,seller_name,goods_id,bridge_type,total_imp,total_clk,total_gv,total_buy,total_dgmv,gpm,ctr1_pct,good_click_quality_score,low_bad_market_score,model_sincerity_score,model_sincerity_level,creation_level,aigc_score,first_img_aesthetic_level,first_img_beauty_level,first_img_quality_level,first_img_definition_level,note_unfriendly_score,neg_emotion_score,spam_level,audit_level,ces_score_td,fans_num,publish_days,tob_b_level_30d,tob_seller_period_level,cover_url,note_quality_level,purchase_intent_score,rk_low_bad,rk_good_click,rk_sincerity,algo_quality_rank,tier,rn_in_tier
68ee1abf0000000007020812,61ab275fb3f9ca0001265c78,至言良食的店,62024964d450b10001c067e3,goods_seller,595,71,21,1,251.0,421.8487394957983,11.93277310924370,0.773205,0.739113,23.104188919067383,中,B,0.304301,中,低,中,低,,,正常,2,147.0,309741,243,B5,稳定期,http://sns-img-qn.xhscdn.com/spectrum/1040g34o31nk6lj5h4s005o6psmog98t5oog8k6g?imageView2/2/w/540/format/jpg/q/75,2,0.88720703125,0.013787132010123885,0.08045823897695484,0.42940662788804523,0.17455066629170798,黑马,893
69b7b7ee00000000220032bd,65e57cddbf7fb600014b21bf,阿莹麦茶的店,6650a562dfedcf0001c1c36f,goods_seller,1111,91,33,4,468.67,421.84518451845184,8.19081908190819,0.724777,0.845472,46.373329162597656,中,B,0.065877,中,中,中,中,,,正常,4,70.0,101410,90,B6,稳定期,http://sns-img-qn.xhscdn.com/spectrum/1040g34o31tp2ql3gmi105ova9gt9gui6qrfqh1o?imageView2/2/w/540/format/jpg/q/75,2,0.9453125,0.15610615277592765,0.24941906072850525,0.15430783120938976,0.18661101490460755,黑马,894
69c88a03000000001b001a6d,6508047ba564790001baa9de,Spring的细微生活的店,6606dc9a32299f00011db668,goods_seller,707,32,12,6,298.0,421.4992927864215,4.52616690240453,0.698957,0.882615,65.48883819580078,高,B,0.285465,中,低,中,中,,,正常,4,476.0,19531,77,B3,稳定期,http://sns-img-qn.xhscdn.com/notes_pre_post/1040g3k831u9gvk8q1s7g48c7cfno9o843nrtgd8?imageView2/2/w/540/format/jpg/q/75,2,0.386474609375,0.3946834806032888,0.3808963485931649,0.04287849858650445,0.2728194425943194,黑马,895
69a28e0a000000000d00aeb5,659d244a60b4ac00010229ee,杯中兽小酒铺的店,68340380d5fe8c00013f7675,goods_seller,1536,266,39,5,647.0,421.2239583333333,17.31770833333333,0.676424,0.790542,36.45841598510742,中,B,0.050645,中,中,高,中,,,正常,4,37.0,2610,106,B4,稳定期,http://sns-img-qn.xhscdn.com/note_pre_post_uhdr/1040g3r831t4dv11vm29g5n6qr6qkniivvoemclg?imageView2/2/w/540/format/jpg/q/75,2,0.9541015625,0.04305611059307609,0.5172727676390924,0.26968903097849417,0.2766726364035542,黑马,896
6a14fded00000000080335e2,650fc5e6796c030001e1f55c,翔说茶（单丛茶）的店,682415e43aa6a60015d755df,goods_seller,994,59,16,1,418.0,420.523138832998,5.93561368209256,0.683403,0.904722,39.183528900146484,中,B,0.058435,中,低,中,中,,,正常,4,0.0,43523,19,B5,稳定期,http://sns-img-qn.xhscdn.com/spectrum/1040g34o320k668fbmo105oncfjqnjqei4m888po?imageView2/2/w/540/format/jpg/q/75,1,0.94921875,0.6537823956899487,0.47194470346195405,0.2342036321655344,0.45331024377247897,黑马,897
685a781200000000120319f9,64d4c2f86b0df000010fc7cb,单向树旗舰店,650cf9c813c7ca00018cf4b9,goods_seller,1266,118,90,3,531.99,420.2132701421801,9.32069510268562,0.723244,0.880691,-5.633793830871582,中,B,0.088279,中,中,中,中,,,正常,4,111.0,14221,354,B6,稳定期,http://sns-img-qn.xhscdn.com/spectrum/1040g0k031j41b9omi4005na7t5kknkjfutk20go?imageView2/2/w/540/format/jpg/q/75,1,0.2607421875,0.3764634489291476,0.2564125334872637,0.7903438272427216,0.474406603219711,黑马,898
6a18c8c300000000360304f7,61ef6bef1ff2ce00010ad572,梅老白茶馆的店,69b0aabc89705f0001dd7311,goods_seller,1664,97,60,1,699.0,420.07211538461536,5.82932692307692,0.754019,0.880031,32.571495056152344,中,B,0.057365,中,低,中,中,,,正常,2,0.0,18403,16,B3,稳定期,http://sns-img-qn.xhscdn.com/1040g008320nsjp7u5s405oa0j307v8pa5r0ktd8?imageView2/2/w/540/format/jpg/q/75,1,0.9248046875,0.3707946657194026,0.13522934150348564,0.3123677160576055,0.27279724109349796,黑马,899
6a0f00950000000036031cc8,63ef0934505ba20001cf3e04,全威派的店,6811d081afdaa600019ec6c1,goods_seller,1802,92,56,2,756.0,419.5338512763596,5.10543840177580,0.695775,0.869989,16.91329574584961,中,B,0.14383,中,中,高,中,,,正常,4,10.0,5162,24,B3,稳定期,http://sns-img-qn.xhscdn.com/notes_pre_post/1040g3k8320e9eqbk68b05oh7ejrk0gv0c1ej2go?imageView2/2/w/540/format/jpg/q/75,2,0.96044921875,0.28817548066249277,0.3988203602563533,0.5179092106626408,0.401635017193829,黑马,900
66fbc3a0000000001a02327d,64e4302500efc80001c56cb2,圣廷陈子老师的店,66fb6bc694a44c00010dfac0,goods_seller,1302,97,14,1,546.0,419.35483870967744,7.45007680491551,0.766183,0.831034,84.49388885498047,高,A,0.049744,中,中,高,中,,,正常,2,3505.0,21048,621,B3,稳定期,http://sns-img-qn.xhscdn.com/spectrum/1040g0k0318dh8san0q004a49bnr1g75fvtk3s2o?imageView2/2/w/540/format/jpg/q/75,2,0.037841796875,0.11042286458564599,0.09843405414206001,0.007134082263961044,0.07199700033055569,黑马,901
69fdb60e000000003503b1c7,6225b991417a3a0001981050,酒零后根据地的店,69fc2ae815602900011609d2,goods_seller,3087,133,39,3,1294.0,419.17719468739875,4.30839002267574,0.756759,0.822761,51.30328369140625,高,B,0.07795,中,低,中,中,,,正常,2,10.0,94624,37,B6,稳定期,http://sns-img-qn.xhscdn.com/spectrum/1040g34o31vtedkrb56a05n980pblgpns65joul8?imageView2/2/w/540/format/jpg/q/75,2,0.95068359375,0.09053031984962183,0.1261859301688794,0.1171425188342732,0.11128625628425814,黑马,902
